Date,Review,Likes On Reviews,User_name
"August 10, 2019",Cannot log in with my IKEA family login. Keeps telling me my password is wrong. When I try to reset it it just tells me my username is wrong. I am very sure that I did not mistype either of them. When I try to create a normal non-IKEA-family login it tells me the service is unavailable right now. Would love to try the app and give a better rating... But right now all I can say is it is garbage.,22.0,User1546
"August 24, 2019",When I attempt to login it just kicks me out and when I do login it shows that I still need to login. I've reset my password so many times that is kind of a joke up to this point. I just want to pay my card off!!! Don't worry I've tried the website as well and it doesn't the same thing.,3.0,User2546
"August 21, 2019","The application seems promising.. if you could actually use it. I've been unable to link my IKEA account to it, always getting a message about failed synchronization. Soo, no lists, no shopping, no nothing, all you can do is check as an anonymous user, which isin't great.",1.0,User1406
"June 9, 2019","It syncs with desktop and gives the code and location of your items in the store of your choice. However, it doesn't show combos in your cart that were added using one of the planners. It doesn't let you order your basket in a logical order for collection. If there is an item in one combo that is also in another, it doesn't combine them so you can collect them at the same time. I also hate that I have to keep logging on every time I open the app.",75.0,User1497
"August 24, 2019","Poor Ux - get better! I followed all steps, installed the app, set up Ikea Family account, had an account number shown on screen, then could not connect the app with the account because I missed the account number. Checked the 2 emails from Ikea, number was not present. Fiddled with the website for 15 minutes, could not find number. Asked chat support, they told me to check number on card. Card not received, been told to check number on website. Checked again, number not found. Uninstall. The end",1.0,User296
"August 17, 2019","This app used to be great for making lists and finding items in store. Since the beginning of August though, I haven't been able to log in to the app, so I am unable to access my list, or my family card. essentially unless I have a paper list and only need to look at the location of the item in store, the app is pretty useless.",4.0,User114
"June 11, 2019","There's no obvious way to create a wishlist on this app. So it's impossible to use for forward planning. The USA version let's you create shopping lists. I can't find any way of doing that in the UK version. Ultimately its useless I will update my review. I want to buy some waste bins for the house. It's impossible to know which department they are in, so i searched bins. They came up and were labeled as being in the home organisation department. There's no link to that department. Awful. Awful",7.0,User75
"June 21, 2019",App no longer allows me to log in and sync my details. App has been uninstalled and reinstalled to no effect. Scanner also does not work and has not for ages. on Samsung S10+ with latest Samsung and Android build. IKEA pull your thumb out and fix as it used to be a great app...,13.0,User520
"May 14, 2019","It's not the worst app ever but it's not great at all. I want the app to be able to SHOP not just make lists. If you want to buy anything you have to open it in your browser... that makes no sense to me! They should rename it to like IKEA In Store Finder or something bc I've heard it's helpful for that, however, as someone not close to a store, I'm only interested in purchasing online in an app. Will uninstall AGAIN.",724.0,User922
"March 9, 2019","This app has very limited use and it's for items available in the store. After doing some heavy surfing/research I found a similar item (best deal) at Ikea online and I bought it. For some odd reason I saw the FedEx truck at the house next door, then he threw it in reverse, turned and went down the street before my house. I didn't get my order until two days later (3 days on FedEx truck). I finally got my order and start putting it together and it was missing two parts. I'm finished with Ikea.",19.0,User1345
"July 31, 2019","App does not recognize the correct login/password combination and any attempt to reset password just takes you to an error message saying it cannot reset password. I was able to log in just fine through the desktop, so I know my credentials are correct.",3.0,User2242
"August 25, 2019","I can't even get into the app.. if I go on the website through Chrome, it takes my email and password no problem. When I try to log in via app it tells me theres an error everytime. I've just decided to screenshot my loyalty card until it finally starts to work.",,User1666
