restaurant_id,restaurant_name,country,city,awards,popularity_detailed,top_tags,price_level,price_range,cuisines,special_diets,vegetarian_friendly,vegan_options,gluten_free,avg_rating,total_reviews_count,food,service,value,atmosphere,keywords
g1023816-d15059813,French Chicken,Denmark,Taarnby,NA,#1 of 4 Restaurants in Taarnby,"French, Philippine, Fast food, European",NA,NA,"French, Philippine, Fast food, European, Asian, Danish",NA,N,N,N,5,2,NA,NA,NA,NA,NA
g1023816-d15613910,Tang Bistro,Denmark,Taarnby,NA,#4 of 4 Restaurants in Taarnby,"Mid-range, Cafe, European, Danish",€€-€€€,NA,"Cafe, European, Danish, Norwegian",NA,N,N,N,2.5,11,NA,NA,NA,NA,NA
g1023816-d17398468,Burger King,Denmark,Taarnby,NA,#3 of 4 Restaurants in Taarnby,NA,NA,NA,NA,NA,N,N,N,3,1,NA,NA,NA,NA,NA
g1023816-d2201829,Restaurant Koebenhavn,Denmark,Taarnby,NA,#2 of 4 Restaurants in Taarnby,"European, Danish",NA,NA,"European, Danish",NA,N,N,N,4.5,4,NA,NA,NA,NA,NA
g1056631-d10284114,Hanstholm Madbar,Denmark,Hanstholm,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#1 of 9 Restaurants in Hanstholm,"Mid-range, Seafood, European, Grill",€€-€€€,€9-€34,"Seafood, European, Grill, Gastropub, Scandinavian, Danish","Vegetarian Friendly, Vegan Options",Y,Y,N,4.5,219,4.5,4.5,4.5,NA,"seafood, great food, a great experience, cozy atmosphere, view"
g1056631-d15350278,Familierestaurant Vigsø,Denmark,Hanstholm,NA,#3 of 9 Restaurants in Hanstholm,"Mid-range, European, Danish",€€-€€€,NA,"European, Danish",NA,N,N,N,4,8,4,4,4,NA,NA
g1056631-d15860637,Centerbageriet Hanstholm,Denmark,Hanstholm,NA,#6 of 9 Restaurants in Hanstholm,NA,NA,NA,NA,NA,N,N,N,5,2,NA,NA,NA,NA,NA
g1056631-d17487609,Havnecafeen,Denmark,Hanstholm,NA,#8 of 9 Restaurants in Hanstholm,"Cheap Eats, Cafe, Seafood, Fast food",€,€2-€12,"Cafe, Seafood, Fast food, Barbecue, European, Danish",NA,N,N,N,3.5,8,NA,NA,NA,NA,NA
g1056631-d17862868,Hanstholm Fish and Chips,Denmark,Hanstholm,NA,#5 of 9 Restaurants in Hanstholm,"Fine Dining, Seafood",€€€€,€62-€62,Seafood,NA,N,N,N,5,2,NA,NA,NA,NA,NA
g1056631-d23283837,Medvind,Denmark,Hanstholm,NA,NA,"Mid-range, Seafood, European, Danish",€€-€€€,€13-€54,"Seafood, European, Danish",NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1056631-d3440294,Hotel Hanstholm Restaurant,Denmark,Hanstholm,NA,#9 of 9 Restaurants in Hanstholm,Mid-range,€€-€€€,NA,NA,NA,N,N,N,3,21,3,3.5,3,NA,NA
g1056631-d3440972,La Pizza Ristorante,Denmark,Hanstholm,NA,#4 of 9 Restaurants in Hanstholm,"Cheap Eats, Italian",€,NA,Italian,NA,N,N,N,3.5,24,3.5,4,4,NA,NA
g1056631-d3442908,Restaurant Vigso Bugt,Denmark,Hanstholm,NA,#7 of 9 Restaurants in Hanstholm,Mid-range,€€-€€€,NA,NA,NA,N,N,N,3.5,15,3.5,4,3.5,NA,NA
g1056631-d3446303,Faergegrillen,Denmark,Hanstholm,NA,#2 of 9 Restaurants in Hanstholm,"Mid-range, Seafood, European, Scandinavian",€€-€€€,NA,"Scandinavian, Danish, Seafood, European",NA,N,N,N,3.5,63,4,4,4,NA,NA
g1056631-d3446311,Cafe Terrassen,Denmark,Hanstholm,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,0,NA,NA,NA,NA,NA
g1056631-d4313240,Det Gamle Røgeri Hanstholm,Denmark,Hanstholm,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 1 Quick Bite in Hanstholm,"Mid-range, Quick Bites, Seafood, European",€€-€€€,NA,"Seafood, European, Scandinavian, Danish",NA,N,N,N,4.5,263,4.5,4,4.5,4,"sandwich, fish, portions are huge, stjerneskud, sea"
